,Body Name,IMAGE,Product Tags: Body,Core Body Number,TAG: Body,id
0,ZIP HOODIE,EH2KTK9Qeer0hHk66aon_Screen%20Shot%202018-01-08%20at%202.41.00%20PM.png (https://dl.airtable.com/VbPCT0rUTHiAKcRHFKxB_EH2KTK9Qeer0hHk66aon_Screen%2520Shot%25202018-01-08%2520at%25202.41.00%2520PM.png),,CM-3003,"Use Day, Use Weekend, Use Work, Fit Relaxed, Detail Soft, Sleeve None, Detail Gathering, Body Top 3, ",recS4t29J73BYrznq
1,Zip BaseBall Jacket,uZNESfIgQLu2lhCVJy2X_Screen%20Shot%202017-12-21%20at%204.47.47%20PM.png (https://dl.airtable.com/NNTq5Z0eS29SFi4EcatE_uZNESfIgQLu2lhCVJy2X_Screen%2520Shot%25202017-12-21%2520at%25204.47.47%2520PM.png),,CM-4001,"Use Day, Use Work, Body Top 3, Length Medium, Use Weekend, Fit Relaxed, Use Evening, Detail Soft, ",recLupRsEop46s4ME
2,Zara Girl's Dress Shirt,CuVfganJSF6x3NCSZuWQ_RM%20PLACEHOLDER.jpg (https://dl.airtable.com/2FAWZu2hTuWNyFV1noVm_CuVfganJSF6x3NCSZuWQ_RM%2520PLACEHOLDER.jpg),,RM-3001,"Use Day, Use Weekend, Use Work, Fit Relaxed, Body Top 3, Sleeve None, Length Medium, Neck None/Open, ",recujzUss1l8UxyjY
3,Zara Girl's Bottom,i6nSRSDdRgaVGrvSvLnM_RM%20PLACEHOLDER.jpg (https://dl.airtable.com/pBDIepkcTcqUvEXc0wW8_i6nSRSDdRgaVGrvSvLnM_RM%2520PLACEHOLDER.jpg),,RM-2001,"Use Day, Use Weekend, Use Work, Fit Relaxed, Body Top 3, Sleeve None, Length Medium, Neck None/Open, ",recJo98wKtjScdpxy
4,Zara Boy's Dress Shirt,ww1VVxblTKnWsQGP0zL1_RM%20PLACEHOLDER.jpg (https://dl.airtable.com/h1MzbCRkTrev90Afuy6l_ww1VVxblTKnWsQGP0zL1_RM%2520PLACEHOLDER.jpg),,RM-3000,"Use Day, Use Weekend, Use Work, Fit Relaxed, Body Top 3, Sleeve None, Length Medium, Neck None/Open, ",reczC3Lul6lJNkOvG
5,Zara Boy's Bottom,EciBn3u5QG20hVFS9rQ6_RM%20PLACEHOLDER.jpg (https://dl.airtable.com/CBelcyhdTTCq4VzBrsqt_EciBn3u5QG20hVFS9rQ6_RM%2520PLACEHOLDER.jpg),,RM-2000,"Use Day, Use Weekend, Use Work, Fit Relaxed, Body Top 3, ",recACtRNsglZftbw3
6,Zade Jacket,NaGOvv9gRPS3l91KYfQl_Screen%20Shot%202018-11-01%20at%206.51.23%20PM.jpg (https://dl.airtable.com/WXGWq9TpRLSY498vmxIz_NaGOvv9gRPS3l91KYfQl_Screen%2520Shot%25202018-11-01%2520at%25206.51.23%2520PM.jpg),,RM-4002,"Use Day, Use Work, Body Top 3, Use Weekend, Detail Soft, Length Medium, Fit Relaxed, Use Evening, ",recO8LjaHA9Yir68k
7,Yoked Pocketless Pullover Sweatshirt,RbKkYwDNRP2j0OU3VlyO_Screen%20Shot%202017-12-21%20at%203.59.40%20PM.png (https://dl.airtable.com/0N0Wb2KuQ1qCCXyMwwhr_RbKkYwDNRP2j0OU3VlyO_Screen%2520Shot%25202017-12-21%2520at%25203.59.40%2520PM.png),,CM-3009,"Use Day, Use Weekend, Use Work, Fit Relaxed, Detail Soft, ",recHgpPOlPyFMlnNR
8,YES WE CAN,UqcyeqguR7KJROnaT5lv_17F8-27.jpg (https://dl.airtable.com/urP2x1PLQ0mGLgXQrgYg_UqcyeqguR7KJROnaT5lv_17F8-27.jpg),,NF-6005,"Use Day, Use Weekend, Use Work, Fit Relaxed, Detail Soft, Sleeve None, Detail Gathering, Body Top 3, ",recl3R2tQco1sgQZf
9,Wyoming Tall,XY9vVQMedgSRNOwpPNw1_WYOMING.jpg (https://dl.airtable.com/gitG4fZTQ6KpivRgBn2K_XY9vVQMedgSRNOwpPNw1_WYOMING.jpg),,JR-3018,"Use Day, Use Weekend, Fit Relaxed, Use Work, Detail Soft, Detail Gathering, Body Top 3, Sleeve None, ",recmvmyLNRwpfaSrQ
