,Color_Name_,Color_Code,IMAGE,TAG: Color,id
0,Cut Paper,CUTPYS,SCzyoVwFSVqHCDkZXVYt_Cut%20Paper.png (https://dl.airtable.com/Z9GHjjQQSOxu7FY8xLMj_SCzyoVwFSVqHCDkZXVYt_Cut%2520Paper.png),"Primary Purple, Secondary Red, Field Large, Contrast High, Bright Medium, Genre Blocking",rec0016dbT64i8wpT
1,White w/Thin Navy Vertical Stripe,WHITUI,fcsx6bXR7CHzNK8gtpPI_Screen%20Shot%202018-08-23%20at%206.55.42%20PM.png (https://dl.airtable.com/8wPOg43mTKGWsk0T2gTX_fcsx6bXR7CHzNK8gtpPI_Screen%2520Shot%25202018-08-23%2520at%25206.55.42%2520PM.png),"Primary white, Secondary black,  Bright Medium,  Contrast Medium, Field Large, Genre Stripe",rec01n5wINvMeGI9S
2,NF Maryam Poem 4x4 White G with Black Geometric Patch,NFMAQN,2GCO6HTRTcGkfUdou23J_Screen%20Shot%202018-09-28%20at%203.01.12%20PM.jpg (https://dl.airtable.com/3gqhUYi5SGmMv21b3FY9_2GCO6HTRTcGkfUdou23J_Screen%2520Shot%25202018-09-28%2520at%25203.01.12%2520PM.jpg),"Primary dimgrey, Secondary whitesmoke,  Bright High,  Contrast Low, Field Large, Genre Jewel",rec02wifpjC5YaQw7
3,Dancing Dots,BLACQF,Wf2e7HkURgSIXhF20UVV_Screen%20Shot%202017-12-05%20at%2011.03.21%20AM.png (https://dl.airtable.com/fGl9QKNtQ2qvw9E3qLq0_Wf2e7HkURgSIXhF20UVV_Screen%2520Shot%25202017-12-05%2520at%252011.03.21%2520AM.png),"Primary Black, Secondary Red, Field Medium, Contrast High, Bright Medium, Genre Geometric, Genre Stripe",rec04jxWs5gMWnPbW
4,GUSSET FRANAY,GUSSXZ,yg3bcdkVR8yhOqmFfj7O_GUSSET%20FRANAY.JPG (https://dl.airtable.com/upTcsO8BTx6C4MRWIt7m_yg3bcdkVR8yhOqmFfj7O_GUSSET%2520FRANAY.JPG),"Primary snow, Secondary cadetblue,  Bright High,  Contrast Low, Field Large, Genre Whimsy",rec06AEMdH2s7n6Zm
5,Sandy Stripe,CORAGF,mNcvzQxzQfqoIh052x9q_Screen%20Shot%202017-12-08%20at%205.24.32%20PM.png (https://dl.airtable.com/RBCKw77rRwWwDDW6Lgth_mNcvzQxzQfqoIh052x9q_Screen%2520Shot%25202017-12-08%2520at%25205.24.32%2520PM.png),"Primary Pink, Secondary White, Contrast Low, Bright Low, Genre Stripe, Field Small",rec0ADNKzgd2N7nES
6,LTCSL RED,LTCSEB,qtrnpSTnSrKOXID2nmoN_Screen%20Shot%202018-10-29%20at%205.37.16%20PM.jpg (https://dl.airtable.com/xIX2Zcd2QGf1kHhY6iII_qtrnpSTnSrKOXID2nmoN_Screen%2520Shot%25202018-10-29%2520at%25205.37.16%2520PM.jpg),"Primary indianred,  Bright Medium,  Contrast Low, Field Medium, Genre Stripe",rec0BPDNOJuClxSmD
7,Follow the Rainbow,WHTIKT,iva7H3Q8SrmT1WvU4UMz_Screen%20Shot%202017-05-08%20at%2012.13.21%20PM.png (https://dl.airtable.com/vkCDskmdQFKASgmjzo7H_iva7H3Q8SrmT1WvU4UMz_Screen%2520Shot%25202017-05-08%2520at%252012.13.21%2520PM.png),"Primary White, Secondary Yellow, Field Large, Contrast Medium, Bright Medium, Genre Stripe",rec0DaKRX6dIEXXRT
8,The Jaws Plaid,JAWSQE,guWr3CJVTeaTo4JtQTB3_Screen%20Shot%202018-11-26%20at%203.34.12%20PM.png (https://dl.airtable.com/88a6KsVGTpOvQLtrbif9_guWr3CJVTeaTo4JtQTB3_Screen%2520Shot%25202018-11-26%2520at%25203.34.12%2520PM.png),"Primary lightblue, Secondary indianred,  Bright Medium,  Contrast Low, Field Large, Genre Happy",rec0FqXszOgVbHmkn
9,The Iranian Rangers  Plaid DARK,IRANLS,1X5st1HQAua5Af8yIb7j_Screen%20Shot%202018-07-30%20at%203.50.54%20PM.png (https://dl.airtable.com/NC7jIo8ASpajkCG5G3FQ_1X5st1HQAua5Af8yIb7j_Screen%2520Shot%25202018-07-30%2520at%25203.50.54%2520PM.png),"Primary rosybrown, Secondary darkolivegreen,  Bright Medium,  Contrast Low, Field Medium, Genre Plaid",rec0FuNHxxRiLWqiS
10,The Reckoning Plaid,RCKOJF,flQ4lunSkyKsX3jjUlxd_Screen%20Shot%202018-11-26%20at%202.36.40%20PM.png (https://dl.airtable.com/U0UYX9KcTdESEaGKz2nP_flQ4lunSkyKsX3jjUlxd_Screen%2520Shot%25202018-11-26%2520at%25202.36.40%2520PM.png),"Primary darkslategray, Secondary darkseagreen,  Bright Medium,  Contrast Low, Field Large, Genre Jewel",rec0HbpxiW6UWENNb
11,MULTI CHERRIES,MULTEH,x5w1BlAgR7iNzpvRNWt8_Screen%20Shot%202017-10-31%20at%2010.17.13%20AM.png (https://dl.airtable.com/WIjpvfYeTfOwFRNyrTb5_x5w1BlAgR7iNzpvRNWt8_Screen%2520Shot%25202017-10-31%2520at%252010.17.13%2520AM.png),"Primary Ivory, Secondary Pink, Field Medium, Contrast Medium, Bright Medium, Genre Nature",rec0KxkHCXeItlI4m
12,Brush Strokes - Peacoat,BRUSDD,HbfUg3HqRudi7hqas0we_Screen%20Shot%202018-05-16%20at%208.53.56%20PM.png (https://dl.airtable.com/NWvoTB3oSxOOFYx40dIq_HbfUg3HqRudi7hqas0we_Screen%2520Shot%25202018-05-16%2520at%25208.53.56%2520PM.png),"Primary black,  Bright Low,  Contrast Low, Field Large, Genre Floral",rec0N8DWFVFDRo14y
13,The Pretty In Pink Plaid,PRTTGJ,jRAURWa3SDmtUKks9NGL_Screen%20Shot%202018-11-26%20at%2010.43.22%20AM.png (https://dl.airtable.com/ha2PIKLTqf1qCPFBxSfg_jRAURWa3SDmtUKks9NGL_Screen%2520Shot%25202018-11-26%2520at%252010.43.22%2520AM.png),"Primary grey, Secondary silver,  Bright High,  Contrast Low, Field Large, Genre Stripe",rec0PD4e66G6So1k2
14,The London Calling Plaid,LONDTN,a5jpgTrDTqWcoukdvMZD_Screen%20Shot%202018-06-12%20at%203.13.40%20PM.png (https://dl.airtable.com/8RtTfJbScOahkpGDPx0A_a5jpgTrDTqWcoukdvMZD_Screen%2520Shot%25202018-06-12%2520at%25203.13.40%2520PM.png),"Genre Plaid, Primary Pink, Secondary Green, Field Medium, Contrast Medium, Bright Low",rec0exopjH3uQ13fj
15,NAVY WITH PINK & WHITE STRIPE,NAVYWA,PULoFwFQSLepfgbWJknR_Screen%20Shot%202017-05-24%20at%2011.57.26%20AM.png (https://dl.airtable.com/DcIze17JS5yOjRdRPXzB_PULoFwFQSLepfgbWJknR_Screen%2520Shot%25202017-05-24%2520at%252011.57.26%2520AM.png),"Primary lavenderblush, Secondary black,  Bright Low,  Contrast Low, Field Medium, Genre Nature",rec0gLm3KfGn7fEOH
16,NF Maryam Poem 7x7 Black G with W Geometric Poem,NFMAZL,HJkANxHTG28MPKrcIzLV_Geometric%20Screen%20Shot%202018-09-28%20at%2011.38.01%20AM.jpg (https://dl.airtable.com/YXsnG6QuehinQN7grQ4p_HJkANxHTG28MPKrcIzLV_Geometric%2520Screen%2520Shot%25202018-09-28%2520at%252011.38.01%2520AM.jpg),"Primary darkgray, Secondary black,  Bright Low,  Contrast Low, Field Medium, Genre Happy",rec0jOvi7dDrNmmpF
17,Desert Sand ,DSRTLD,eeF94uowQG9IAlVysSBF_Screen%20Shot%202018-05-25%20at%201.08.29%20PM.png (https://dl.airtable.com/32XnJGFETYGaHA7uHnOb_eeF94uowQG9IAlVysSBF_Screen%2520Shot%25202018-05-25%2520at%25201.08.29%2520PM.png),"Primary indianred, Secondary darkgray,  Bright Medium,  Contrast Low, Field Large, Genre Plaid",rec0k5UEUATgXUyDv
18,TEDDY STRIKEOFF,TDDYLL,9xddyV8VRiqHswNQfeLs_Screen%20Shot%202018-04-25%20at%203.33.51%20PM.png (https://dl.airtable.com/ImVMeqGSi2yWgYvb8L9d_9xddyV8VRiqHswNQfeLs_Screen%2520Shot%25202018-04-25%2520at%25203.33.51%2520PM.png),"Primary silver, Secondary steelblue,  Bright Medium,  Contrast Low, Field Large, Genre Nature",rec0kKS9YHjILbRzi
19,The Where the Wild Things Are Plaid,WILDTH,Z3DTOuzKSniqFN3DNdgk_Screen%20Shot%202017-05-08%20at%2012.47.42%20PM.png (https://dl.airtable.com/BeA8D8giTZGReTNjARVR_Z3DTOuzKSniqFN3DNdgk_Screen%2520Shot%25202017-05-08%2520at%252012.47.42%2520PM.png),"Genre Plaid, Primary Blue, Secondary Beige, Field Large, Bright Low, Contrast Low",rec0klRyFbgN915s4
20,White Lines on Maroon,WHITLU,xmxGUITlR6h06QyRt7iw_white%20line%20test%20maroon%20test.jpg (https://dl.airtable.com/imk8EtS9SRiEeIf3YyTS_xmxGUITlR6h06QyRt7iw_white%2520line%2520test%2520maroon%2520test.jpg),"Primary black, Secondary darkgray,  Bright Low,  Contrast Low, Field Medium, Genre Whimsy",rec0kpt5aV5XuvlSv
21,Navy Ivory and Black Santiago,NAVYID,,,rec0ljvA1mZAQxg7R
22,The Technique Plaid,TCHNVF,S7xh8QbSAaVBwhzoT3SQ_Screen%20Shot%202018-11-26%20at%2011.04.43%20AM.png (https://dl.airtable.com/4pFdB6ZMSAaj1yQhu4Ix_S7xh8QbSAaVBwhzoT3SQ_Screen%2520Shot%25202018-11-26%2520at%252011.04.43%2520AM.png),"Primary darkslategray, Secondary indigo,  Bright Low,  Contrast Low, Field Medium, Genre Floral",rec0mFz0ALpov7dtD
