,Style Name,IMAGE,Resonance_code,TAGS: Material,TAGS: Color,TAGS: Body,id
0,🛡 The Tea Length Tunic - Petal Poet  in Stretch Georgette,,TK-6011 SGT19 PANSYP,"Chief Silk, Weave Woven Stretch, GSM 130-160, Type Georgette","Contrast High, Bright Medium, Genre Floral, Field Medium, Secondary Red, Primary Beige","Use Day, Use Weekend, Use Work, Fit Relaxed, Detail Soft, Sleeve None, Detail Gathering, Body Top 3, ",recCPenP3CfKvzeJD
1,🛡 The Sleeveless Classic Blouse - Cora's Cafe in Stretch Georgette,,TK-3018 SGT19 JPWALL,"Chief Silk, Weave Woven Stretch, GSM 130-160, Type Georgette","Contrast Medium, Bright Medium, Genre Floral, Field Small, Secondary Red, Primary Blue","Use Day, Use Work, Detail Soft, Use Weekend, Fit Relaxed, ",rec9rh22rgAsvYerk
2,🛡 The Short Sleeve Polo Blouse - Petal Poet  in Stretch Georgette,,TK-3030 SGT19 PANSYP,"Chief Silk, Weave Woven Stretch, GSM 130-160, Type Georgette","Contrast High, Bright Medium, Genre Floral, Field Medium, Secondary Red, Primary Beige","Body Top 3, Fit Full, Use Day, Use Work, Use Evening, Use Weekend, Length Medium, Sleeve Short, Detail Placket, Neck V, Detail Soft",rec0nvCuXOgHTYm67
3,🛡 The Short Sleeve Polo Blouse - Cerulean in Stretch Georgette,BlK4hxsTQO7lsKEiXRww_j7P91pBSPui2zqFNXFGL_TK3030-SGT19-EYEWEB-2ZZSM_1_2.jpg (https://dl.airtable.com/lCUeKQl4R8yiJgUEOUB6_BlK4hxsTQO7lsKEiXRww_j7P91pBSPui2zqFNXFGL_TK3030-SGT19-EYEWEB-2ZZSM_1_2.jpg),TK-3030 SGT19 EYEWEB,"Chief Silk, Weave Woven Stretch, GSM 130-160, Type Georgette","Primary Pink, Secondary Blue, Field Small, Contrast Medium, Bright Medium, Genre Nature, Genre Cartoon","Body Top 3, Fit Full, Use Day, Use Work, Use Evening, Use Weekend, Length Medium, Sleeve Short, Detail Placket, Neck V, Detail Soft",recgQcfZcxKCnBWQb
4,🛡 The Renaissance Blouse - Petal Poet  in Crepe de Chine 16mm,ypXDwpL6TRiVw3yghzHv_tl840L3R1GXWG8oSFvc5_TK3049-CDC16-PANSYP-2ZZSM_1_2.jpg (https://dl.airtable.com/x8lnjLtFQ8G85JYMLd9B_ypXDwpL6TRiVw3yghzHv_tl840L3R1GXWG8oSFvc5_TK3049-CDC16-PANSYP-2ZZSM_1_2.jpg),TK-3049 CDC16 PANSYP,"Chief Silk, Weave Woven Non Stretch, GSM 130-160, Type Crepe","Contrast High, Bright Medium, Genre Floral, Field Medium, Secondary Red, Primary Beige","Use Day, Use Weekend, Fit Relaxed, Use Work, Detail Soft, Body Top 3, Length Medium, Detail Gathering, ",recSv7rH4DPzH75uJ
5,🛡 The Disco Midi Dress - Creme and Cassis in Stretch Georgette,,TK-6048 SGT19 CASSIS,"Chief Silk, Weave Woven Stretch, GSM 130-160, Type Georgette","Contrast High, Bright Medium, Genre Floral, Field Medium, Secondary Purple, Primary Ivory","Use Day, Use Work, Detail Soft, Use Weekend, Fit Relaxed, ",recEiQ8Pglccvk7vO
6,🛡 The Disco Midi Dress - Cerulean in Stretch Georgette,,TK-6048 SGT19 EYEWEB,"Chief Silk, Weave Woven Stretch, GSM 130-160, Type Georgette","Primary Pink, Secondary Blue, Field Small, Contrast Medium, Bright Medium, Genre Nature, Genre Cartoon","Use Day, Use Work, Detail Soft, Use Weekend, Fit Relaxed, ",recowAlHQcnHgoUdf
7,🛡 The Classic Mini Dress - Creme and Cassis in Stretch Georgette,,TK-6006 SGT19 CASSIS,"Chief Silk, Weave Woven Stretch, GSM 130-160, Type Georgette","Contrast High, Bright Medium, Genre Floral, Field Medium, Secondary Purple, Primary Ivory","Body Dress 6, Fit Full, Use Day, Use Weekend, Use Work, Neck Crew, Sleeve 3/4, Detail Cuff Elastic, Detail Gathering, Detail Soft, Length Short",recyfBmMrCm6pVJJu
8,🛡 The Classic Blouse - White Balloon Tree in Double Georgette,,TK-3001 GGT16 WHITBR,"Chief Silk, Weave Woven Non Stretch, GSM 100-130, Type Sheer, Type Georgette",,"Body Top 3, Fit Full, Use Day, Use Evening, Use Occasion, Use Holiday, Use Work, Neck Crew, Sleeve 3/4, Detail Cuff Elastic, Detail Soft",recr49GJDBoV4WLYo
9,🛡 The Classic Blouse - Taramo Toast in Stretch Georgette,,TK-3001 SGT19 MULTFL ,"Chief Silk, Weave Woven Stretch, GSM 130-160, Type Georgette",,"Body Top 3, Fit Full, Use Day, Use Evening, Use Occasion, Use Holiday, Use Work, Neck Crew, Sleeve 3/4, Detail Cuff Elastic, Detail Soft",recBitqAcjewZI2P7
10,🛡 The Classic Blouse - Tan Camo in Stretch Georgette,,TK-3001 SGT19 CAMOZZ,"Chief Silk, Weave Woven Stretch, GSM 130-160, Type Georgette","Primary Brown, Secondary Ivory, Field Small, Contrast Low, Bright Low, Genre Nature","Body Top 3, Fit Full, Use Day, Use Evening, Use Occasion, Use Holiday, Use Work, Neck Crew, Sleeve 3/4, Detail Cuff Elastic, Detail Soft",recQ6gS1v9yYCAW6O
